D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.401398742,50,750,3000,100000000,1000000,1385.44236
0.401786825,75,750,3000,100000000,1000000,1385.44236
0.403021312,100,750,3000,100000000,1000000,1385.44236
0.400718504,125,750,3000,100000000,1000000,1385.44236
0.402620679,150,750,3000,100000000,1000000,1385.44236
0.400409342,50,1000,3000,100000000,1000000,1385.44236
0.403450026,75,1000,3000,100000000,1000000,1385.44236
0.405612684,100,1000,3000,100000000,1000000,1385.44236
0.4007136,125,1000,3000,100000000,1000000,1385.44236
0.407165281,150,1000,3000,100000000,1000000,1385.44236
0.4020391,50,1250,3000,100000000,1000000,1385.44236
0.400807387,75,1250,3000,100000000,1000000,1385.44236
0.400245787,100,1250,3000,100000000,1000000,1385.44236
0.403337073,125,1250,3000,100000000,1000000,1385.44236
0.400107177,150,1250,3000,100000000,1000000,1385.44236
0.404282856,50,1500,3000,100000000,1000000,1385.44236
0.403806447,75,1500,3000,100000000,1000000,1385.44236
0.407624032,100,1500,3000,100000000,1000000,1385.44236
0.400259787,125,1500,3000,100000000,1000000,1385.44236
0.406950205,150,1500,3000,100000000,1000000,1385.44236
0.401393952,50,1750,3000,100000000,1000000,1385.44236
0.402934051,75,1750,3000,100000000,1000000,1385.44236
0.400716141,100,1750,3000,100000000,1000000,1385.44236
0.407686154,125,1750,3000,100000000,1000000,1385.44236
0.406107588,150,1750,3000,100000000,1000000,1385.44236
0.406123695,50,750,4000,100000000,1000000,1385.44236
0.400945986,75,750,4000,100000000,1000000,1385.44236
0.403944768,100,750,4000,100000000,1000000,1385.44236
0.402067824,125,750,4000,100000000,1000000,1385.44236
0.400926073,150,750,4000,100000000,1000000,1385.44236
0.401237838,50,1000,4000,100000000,1000000,1385.44236
0.403166711,75,1000,4000,100000000,1000000,1385.44236
0.403629018,100,1000,4000,100000000,1000000,1385.44236
0.400226353,125,1000,4000,100000000,1000000,1385.44236
0.400781621,150,1000,4000,100000000,1000000,1385.44236
0.405047412,50,1250,4000,100000000,1000000,1385.44236
0.407148391,75,1250,4000,100000000,1000000,1385.44236
0.400739862,100,1250,4000,100000000,1000000,1385.44236
0.401234076,125,1250,4000,100000000,1000000,1385.44236
0.400419614,150,1250,4000,100000000,1000000,1385.44236
0.406729392,50,1500,4000,100000000,1000000,1385.44236
0.40022637,75,1500,4000,100000000,1000000,1385.44236
0.400904318,100,1500,4000,100000000,1000000,1385.44236
0.402738398,125,1500,4000,100000000,1000000,1385.44236
0.400948038,150,1500,4000,100000000,1000000,1385.44236
0.408418403,50,1750,4000,100000000,1000000,1385.44236
0.400876932,75,1750,4000,100000000,1000000,1385.44236
0.401840122,100,1750,4000,100000000,1000000,1385.44236
0.400738338,125,1750,4000,100000000,1000000,1385.44236
0.400264433,150,1750,4000,100000000,1000000,1385.44236
0.400142313,50,750,5000,100000000,1000000,1385.44236
0.401138593,75,750,5000,100000000,1000000,1385.44236
0.402213209,100,750,5000,100000000,1000000,1385.44236
0.400988721,125,750,5000,100000000,1000000,1385.44236
0.400515311,150,750,5000,100000000,1000000,1385.44236
0.400273292,50,1000,5000,100000000,1000000,1385.44236
0.400948564,75,1000,5000,100000000,1000000,1385.44236
0.40097807,100,1000,5000,100000000,1000000,1385.44236
0.401001406,125,1000,5000,100000000,1000000,1385.44236
0.401110941,150,1000,5000,100000000,1000000,1385.44236
0.404368899,50,1250,5000,100000000,1000000,1385.44236
0.401819291,75,1250,5000,100000000,1000000,1385.44236
0.408263413,100,1250,5000,100000000,1000000,1385.44236
0.407534536,125,1250,5000,100000000,1000000,1385.44236
0.400230278,150,1250,5000,100000000,1000000,1385.44236
0.402570283,50,1500,5000,100000000,1000000,1385.44236
0.402007959,75,1500,5000,100000000,1000000,1385.44236
0.400144416,100,1500,5000,100000000,1000000,1385.44236
0.400529328,125,1500,5000,100000000,1000000,1385.44236
0.400146802,150,1500,5000,100000000,1000000,1385.44236
0.405217699,50,1750,5000,100000000,1000000,1385.44236
0.401586952,75,1750,5000,100000000,1000000,1385.44236
0.404315305,100,1750,5000,100000000,1000000,1385.44236
0.403174235,125,1750,5000,100000000,1000000,1385.44236
0.403841614,150,1750,5000,100000000,1000000,1385.44236
0.400361829,50,750,6000,100000000,1000000,1385.44236
0.401074216,75,750,6000,100000000,1000000,1385.44236
0.403160281,100,750,6000,100000000,1000000,1385.44236
0.401214966,125,750,6000,100000000,1000000,1385.44236
0.403419233,150,750,6000,100000000,1000000,1385.44236
0.4006699,50,1000,6000,100000000,1000000,1385.44236
0.402121393,75,1000,6000,100000000,1000000,1385.44236
0.402743362,100,1000,6000,100000000,1000000,1385.44236
0.403552208,125,1000,6000,100000000,1000000,1385.44236
0.401649976,150,1000,6000,100000000,1000000,1385.44236
0.404075246,50,1250,6000,100000000,1000000,1385.44236
0.404391425,75,1250,6000,100000000,1000000,1385.44236
0.400985863,100,1250,6000,100000000,1000000,1385.44236
0.400895095,125,1250,6000,100000000,1000000,1385.44236
