D[m],Cc,Cs,L [mm],M [Nmm],N [N],As
0.649542892,0.5,0.6,0.6,0.333333333,0.333333333,0.446802571
0.650170888,0.75,0.6,0.6,0.333333333,0.333333333,0.446802571
0.652168533,1,0.6,0.6,0.333333333,0.333333333,0.446802571
0.648442132,1.25,0.6,0.6,0.333333333,0.333333333,0.446802571
0.651520228,1.5,0.6,0.6,0.333333333,0.333333333,0.446802571
0.647941846,0.5,0.8,0.6,0.333333333,0.333333333,0.446802571
0.652862276,0.75,0.8,0.6,0.333333333,0.333333333,0.446802571
0.656361888,1,0.8,0.6,0.333333333,0.333333333,0.446802571
0.648434197,1.25,0.8,0.6,0.333333333,0.333333333,0.446802571
0.658874298,1.5,0.8,0.6,0.333333333,0.333333333,0.446802571
0.650579118,0.5,1,0.6,0.333333333,0.333333333,0.446802571
0.648585962,0.75,1,0.6,0.333333333,0.333333333,0.446802571
0.647677181,1,1,0.6,0.333333333,0.333333333,0.446802571
0.652679497,1.25,1,0.6,0.333333333,0.333333333,0.446802571
0.647452884,1.5,1,0.6,0.333333333,0.333333333,0.446802571
0.654209961,0.5,1.2,0.6,0.333333333,0.333333333,0.446802571
0.653439037,0.75,1.2,0.6,0.333333333,0.333333333,0.446802571
0.659616647,1,1.2,0.6,0.333333333,0.333333333,0.446802571
0.647699836,1.25,1.2,0.6,0.333333333,0.333333333,0.446802571
0.658526262,1.5,1.2,0.6,0.333333333,0.333333333,0.446802571
0.649535141,0.5,1.4,0.6,0.333333333,0.333333333,0.446802571
0.652027326,0.75,1.4,0.6,0.333333333,0.333333333,0.446802571
0.648438308,1,1.4,0.6,0.333333333,0.333333333,0.446802571
0.659717174,1.25,1.4,0.6,0.333333333,0.333333333,0.446802571
0.65716274,1.5,1.4,0.6,0.333333333,0.333333333,0.446802571
0.657188804,0.5,0.6,0.8,0.333333333,0.333333333,0.446802571
0.648810242,0.75,0.6,0.8,0.333333333,0.333333333,0.446802571
0.653662867,1,0.6,0.8,0.333333333,0.333333333,0.446802571
0.650625599,1.25,0.6,0.8,0.333333333,0.333333333,0.446802571
0.648778019,1.5,0.6,0.8,0.333333333,0.333333333,0.446802571
0.649282517,0.5,0.8,0.8,0.333333333,0.333333333,0.446802571
0.652403816,0.75,0.8,0.8,0.333333333,0.333333333,0.446802571
0.653151921,1,0.8,0.8,0.333333333,0.333333333,0.446802571
0.647645733,1.25,0.8,0.8,0.333333333,0.333333333,0.446802571
0.648544267,1.5,0.8,0.8,0.333333333,0.333333333,0.446802571
0.655447164,0.5,1,0.8,0.333333333,0.333333333,0.446802571
0.658846966,0.75,1,0.8,0.333333333,0.333333333,0.446802571
0.648476693,1,1,0.8,0.333333333,0.333333333,0.446802571
0.649276429,1.25,1,0.8,0.333333333,0.333333333,0.446802571
0.647958467,1.5,1,0.8,0.333333333,0.333333333,0.446802571
0.658168943,0.5,1.2,0.8,0.333333333,0.333333333,0.446802571
0.64764576,0.75,1.2,0.8,0.333333333,0.333333333,0.446802571
0.648742815,1,1.2,0.8,0.333333333,0.333333333,0.446802571
0.651710721,1.25,1.2,0.8,0.333333333,0.333333333,0.446802571
0.648813563,1.5,1.2,0.8,0.333333333,0.333333333,0.446802571
